feature	partner	sample_name
DNAJC18	SIL1	ACH-000767
ERICH6	PRKCI	ACH-000767
GACAT3	NBAS	ACH-000767
KLHL1	NBAS	ACH-000767
LINC01035	DHX9	ACH-000767
MED12L	XXYLT1	ACH-000767
PLSCR1	SLC25A36	ACH-000767
RALGPS2	RASAL2	ACH-000767
RFC5	CIT	ACH-000767
RNF13	RUBCN	ACH-000767
SPTAN1	PKN3	ACH-000767
TRMT1L	XPR1	ACH-000767
UTP6	CACNA2D3	ACH-000767
ZMYND12	FOXJ3	ACH-000767
DUSP16	LRP6	ACH-000628
EIF6	DDX27	ACH-000628
OSBPL5	CARS	ACH-000628
PPM1E	RCOR1	ACH-000628
TYW1	STAU1	ACH-000628
ZBTB7B	ADAM15	ACH-000628
DPY19L1	WIPI2	ACH-000378
LINC00824	PVT1	ACH-000378
NUBPL	AP4S1	ACH-000378
PNPLA8	NRCAM	ACH-000378
R3HDM1	UBXN4	ACH-000378
ZNF730	MYO9B	ACH-000378
CPNE8	NOTCH2	ACH-000945
DEPDC4	UHRF1BP1L	ACH-000945
FAM9B	SBNO1	ACH-000945
HMMR	PLEKHM1	ACH-000945
IFNAR1	IFNGR2	ACH-000945
KPNA6	TXLNA	ACH-000945
SBNO1	CNTN1	ACH-000945
USP35	PPT1	ACH-000945
ARPC4	JAGN1	ACH-000853
BLVRB	PLD3	ACH-000853
HMGN3	ARL15	ACH-000853
IVNS1ABP	COL11A1	ACH-000853
KDM4C	UHRF2	ACH-000853
KIF15	LARS2	ACH-000853
KLHL29	DTNB	ACH-000853
LEUTX	NOL4L	ACH-000853
SLC38A9	PLPP1	ACH-000853
SSPN	BTBD9	ACH-000853
SYNE1	KHDC1	ACH-000853
USP53	NDST3	ACH-000853
ZNF595	ZNF718	ACH-000853
GNS	PAWR	ACH-000358
MYCNUT	GPR75-ASB3	ACH-000358
SEPT9	TYMS	ACH-000358
ZNF608	FSTL4	ACH-000358
ATE1	MTSS1	ACH-000491
ATP10A	UBE3A	ACH-000491
COL14A1	FGFR2	ACH-000491
COL14A1	MTSS1	ACH-000491
COL14A1	TRIB1	ACH-000491
CXorf40A	IDS	ACH-000491
DEPTOR	TATDN1	ACH-000491
MRPL13	FGFR2	ACH-000491
MRPL13	PVT1	ACH-000491
NLRP9	UBE2S	ACH-000491
PDE6G	NPLOC4	ACH-000491
PM20D1	NUCKS1	ACH-000491
ZNF331	ZNF580	ACH-000491
ADCY1	POLR2J4	ACH-000403
CASC11	PSEN1	ACH-000355
CASC11	SLC22A17	ACH-000355
CASC21	LTBP2	ACH-000355
CASC21	SLC35F4	ACH-000355
CASC8	LTBP2	ACH-000355
CASC8	MIR1204	ACH-000355
CASC8	PVT1	ACH-000355
CPTP	ATAD3B	ACH-000355
HDAC8	DACH2	ACH-000355
MYH10	SUPT6H	ACH-000355
MYH7	MIR1204	ACH-000355
MYH7	PVT1	ACH-000355
PAPLN	RBM25	ACH-000355
PARVA	TPD52L1	ACH-000355
PSEN1	PAPLN	ACH-000355
ASIC2	FOCAD	ACH-000416
DDX19B	CDH13	ACH-000416
DNAJB12	ASCC1	ACH-000416
OGDH	PPIA	ACH-000416
RABGAP1L	LHX4-AS1	ACH-000416
TMIGD1	MLLT3	ACH-000416
TYW5	BMPR2	ACH-000416
ARL15	ZMYM4	ACH-000292
CASC15	SYCP2L	ACH-000292
CASC8	CCAT1	ACH-000292
CCDC42	DPH1	ACH-000292
COX10-AS1	NXN	ACH-000292
MYO15A	SMG6	ACH-000292
RAP1GAP2	PELP1	ACH-000292
SIGLEC5	ZNF217	ACH-000292
SLC9A3R2	SPTBN1	ACH-000292
VPS53	NAA38	ACH-000292
CDK12	ERBB2	ACH-000427
GBF1	SUFU	ACH-000427
JUP	ERBB2	ACH-000427
LTBP4	ERBB2	ACH-000427
ADK	LRMDA	ACH-000001
ANK3	CCDC6	ACH-000001
BEAN1	NUP98	ACH-000001
CDKN3	FBXO34	ACH-000001
CEP250	ROMO1	ACH-000001
COL2A1	SLC38A1	ACH-000001
DAP3	SLC25A44	ACH-000001
FAM168A	FCHSD2	ACH-000001
FCHSD2	STARD10	ACH-000001
KCNAB2	CAMTA1	ACH-000001
MPP7	SVIL	ACH-000001
NEU1	SPEN	ACH-000001
NF1	RAB11FIP4	ACH-000001
OGFOD3	SLC25A10	ACH-000001
OTOF	ITSN2	ACH-000001
POLR1A	BCS1L	ACH-000001
PRICKLE2	TEX2	ACH-000001
RNF123	MSI2	ACH-000001
ROR1	CACHD1	ACH-000001
SLC22A15	ZBTB17	ACH-000001
ZNRF3	EWSR1	ACH-000001
EYS	PHF3	ACH-000200
MTAP	CDKN2A	ACH-000200
C8orf34	CHD7	ACH-000911
CCDC192	SLC12A2	ACH-000911
CLGN	MAML3	ACH-000911
KRTAP5-11	CPT1A	ACH-000911
METRNL	FAM129B	ACH-000911
NCOA7	HINT3	ACH-000911
CCDC57	HGS	ACH-000674
DHX40	KPNA2	ACH-000674
EME1	ARHGDIA	ACH-000674
ERC1	ACACA	ACH-000674
FAM104A	UNK	ACH-000674
FGL1	MTUS1	ACH-000674
HDAC5	WSB1	ACH-000674
JMJD6	ARHGAP27	ACH-000674
KCNJ2	EME1	ACH-000674
KIAA1522	PLEKHA6	ACH-000674
LRRN2	KIAA1522	ACH-000674
MET	CFTR	ACH-000674
MKRN2OS	SLC25A26	ACH-000674
PLEKHM1	NSF	ACH-000674
SEPT9	ENDOV	ACH-000674
TMEM105	SLC9A3R1	ACH-000674
ABRAXAS2	EEF1AKMT2	ACH-000704
DPYD	MIR137HG	ACH-000704
MFSD11	PSMD14	ACH-000704
PIGV	ZDHHC18	ACH-000704
TRAF7	CSNK1G2	ACH-000704
WDR66	BCL7A	ACH-000704
ADGRV1	HOMER1	ACH-000679
CACHD1	DOCK7	ACH-000679
DBF4B	SREBF2	ACH-000679
DYM	WDTC1	ACH-000679
EIF1	ERBB2	ACH-000679
FKBP10	HAP1	ACH-000679
GRB7	PHF12	ACH-000679
JUP	EIF1	ACH-000679
JUP	ERBB2	ACH-000679
MYO18A	PHF12	ACH-000679
NT5C3B	PGAP3	ACH-000679
PIPOX	PGAP3	ACH-000679
PHF14	NDUFA4	ACH-000544
UBA5	DNAJC13	ACH-000544
ACLY	THRA	ACH-000383
CASC8	CCAT1	ACH-000383
FHAD1	EFHD2	ACH-000383
HBP1	CUX1	ACH-000383
JUP	ERBB2	ACH-000383
MEN1	SF1	ACH-000383
PIAS4	EEF2	ACH-000383
RFWD3	GLG1	ACH-000383
WIPF2	ACLY	ACH-000383
BRK1	LDLR	ACH-000776
CCDC171	CLPX	ACH-000776
CDH12	CNTN5	ACH-000776
DOCK4	IMMP2L	ACH-000776
FBN1	MAPK6	ACH-000776
MFSD13A	SUFU	ACH-000776
MTF2	RPAP2	ACH-000776
NRL	PEX11G	ACH-000776
PCAT19	ZNF77	ACH-000776
SLC39A10	ZC3H15	ACH-000776
YJU2	GNA11	ACH-000776
ADD2	TGFA	ACH-000159
C2orf48	HPCAL1	ACH-000159
SLC24A2	MTAP	ACH-000159
CEBPZ	EIF2AK2	ACH-000688
DAPK2	CSNK1G1	ACH-000688
S100A6	FN1	ACH-000688
PI4KAP2	HIC2	ACH-000291
BAZ2B	WDSUB1	ACH-000617
FSD1L	SLC44A1	ACH-000617
GLIS3	RFX3	ACH-000617
GXYLT2	PPP4R2	ACH-000617
NMT1	DCAKD	ACH-000617
NUP210L	ANXA9	ACH-000617
PCYT1A	DLG1	ACH-000617
PKD1L2	GCSH	ACH-000617
SCN1B	LSR	ACH-000617
FLYWCH2	FLYWCH1	ACH-000696
SAP130	WDR33	ACH-000696
SPINK5	RASA2	ACH-000696
TENM3	WWC2	ACH-000696
TRIO	FBXL7	ACH-000696
TUBA4A	HNRNPH1	ACH-000696
UVRAG	FCHSD2	ACH-000696
ANO1	PPFIA1	ACH-000527
ARHGAP29	GCLM	ACH-000527
ASH1L	PKN1	ACH-000527
BRF1	JAG2	ACH-000527
CCDC155	PRRG2	ACH-000527
CIC	RAD9A	ACH-000527
GLIS3	RFX3	ACH-000527
HSP90AB1	RASA2	ACH-000527
IQSEC1	CCDC12	ACH-000527
KDM3A	PARD3	ACH-000527
L3MBTL2	ZC3H7B	ACH-000527
LAMB4	LAMB1	ACH-000527
MIR6080	CYB561	ACH-000527
NSD1	BABAM2	ACH-000527
NT5C3B	JUP	ACH-000527
RALGAPA1	FBXO34	ACH-000527
SLC9A9	ATG7	ACH-000527
YPEL2	ZC3H7B	ACH-000527
ZBTB38	SEMA5B	ACH-000527
ZPLD1	SEMA5B	ACH-000527
B2M	MIR6723	ACH-000947
ABLIM2	AFAP1	ACH-000443
ABRAXAS1	HELQ	ACH-000443
ACTR10	ARID4A	ACH-000443
ANTXR1	PSMA7	ACH-000443
CC2D1A	CEP112	ACH-000443
CEP112	CC2D1A	ACH-000443
EIF3L	KDELR3	ACH-000443
LAMB4	LAMB1	ACH-000443
NDRG1	TBC1D1	ACH-000443
NEURL1	ABI1	ACH-000443
OTUD7B	TXNIP	ACH-000443
RAD51B	POFUT2	ACH-000443
RECK	HDAC5	ACH-000443
SAMD12	EXT1	ACH-000443
SLC41A1	DSTYK	ACH-000443
SLC41A1	SLC45A3	ACH-000443
SLC8A1-AS1	WDR19	ACH-000443
TERT	SLC12A7	ACH-000443
TOM1L2	SREBF1	ACH-000443
ZNF385B	HADHA	ACH-000443
ABCA3	SNHG19	ACH-000663
ADGRG5	LAMB2	ACH-000663
ATG3	CEP250	ACH-000663
C3orf67	TKT	ACH-000663
CCDC148	ELF2	ACH-000663
DRG2	LLGL1	ACH-000663
FOLR2	CDK15	ACH-000663
GTF2H5	TULP4	ACH-000663
HNF1B	ELMSAN1	ACH-000663
ICAM3	HIF1A	ACH-000663
NKAIN1	KDM4B	ACH-000663
NPL	LAMC2	ACH-000663
NPM1P47	VPS13C	ACH-000663
RASSF5	MAPKAPK2	ACH-000663
SLC22A20P	SYNRG	ACH-000663
UHRF1	PUM1	ACH-000663
AGO3	THRAP3	ACH-000042
CSNK1E	CABIN1	ACH-000042
SEC14L2	TAB1	ACH-000042
TEKT2	THRAP3	ACH-000042
CTR9	GATAD2A	ACH-000139
LRBA	GLRB	ACH-000139
MIB1	PTPRM	ACH-000139
NDRG3	LRRC1	ACH-000139
RXRB	PSMC4	ACH-000139
NNT-AS1	NNT	ACH-000235
RNA28S5	ZC3H14	ACH-000417
C19orf44	SMARCA4	ACH-000023
ASAP2	CPSF3	ACH-000030
CHMP2A	ZSCAN22	ACH-000030
GALNT16	FUT8	ACH-000030
TTI1	RPN2	ACH-000030
TTLL5	FLVCR2	ACH-000030
UBR3	EFHD1	ACH-000030
LRRC27	PRDX3	ACH-000320
MYC	PVT1	ACH-000320
PRDX3	GBF1	ACH-000320
SUMF1	SLC4A7	ACH-000320
CCDC60	SLC16A7	ACH-000347
EIF2AK1	PMS2	ACH-000347
HOXB-AS3	HOXB3	ACH-000347
LINC01204	KDM6A	ACH-000347
MAGOHB	PRH1	ACH-000347
OS9	SRSF4	ACH-000347
STYK1	PRH1	ACH-000347
CASP4	DYNC2H1	ACH-000189
CDC16	UPF3A	ACH-000189
DDX60	DDX60L	ACH-000189
SET	PKN3	ACH-000189
ABCC1	CROCCP2	ACH-000144
ACSBG1	QRICH1	ACH-000144
ACSS2	RTKN2	ACH-000144
ANKRD52	SMARCC2	ACH-000144
ARID1A	UACA	ACH-000144
BCL3	CBLC	ACH-000144
CENPP	DCAF10	ACH-000144
CHRDL2	FBXL20	ACH-000144
COQ5	PRPF40B	ACH-000144
EDEM2	TRPC4AP	ACH-000144
GFRA1	VTI1A	ACH-000144
GSS	ZNF431	ACH-000144
HEATR4	NUMB	ACH-000144
IKZF3	SLC35G1	ACH-000144
LAMB1	IMMP2L	ACH-000144
MCAT	PACSIN2	ACH-000144
NOL4L	BPIFB3	ACH-000144
PRKG1	IPMK	ACH-000144
RBM25	PSEN1	ACH-000144
REEP3	TMEM26-AS1	ACH-000144
SERPINE3	WDFY2	ACH-000144
TEK	PAIP1	ACH-000144
UBC	SCARB1	ACH-000144
UBE2D1	VTI1A	ACH-000144
UPF1	LINC00664	ACH-000144
WBP1L	GBF1	ACH-000144
CPT1C	PTOV1	ACH-000482
DPYD	ZRANB2-AS2	ACH-000482
RPL13	CPNE7	ACH-000062
BICRAL	CNPY3	ACH-000442
EPHA6	VPS8	ACH-000442
KNL1	USP13	ACH-000442
TAPT1	BACE2	ACH-000442
BEST3	FRS2	ACH-000689
BEST3	NUP107	ACH-000689
C12orf54	CCT2	ACH-000689
CACNA2D4	VDR	ACH-000689
CCNT1	CCT2	ACH-000689
CCNT1	QKI	ACH-000689
EIF2S1	DHRS7	ACH-000689
ENDOU	FRS2	ACH-000689
FRS2	CNOT2	ACH-000689
FRS2	MYRFL	ACH-000689
LRP1	R3HDM2	ACH-000689
LRTM2	CNOT2	ACH-000689
MARS	FRS2	ACH-000689
MYRFL	CCT2	ACH-000689
MYRFL	FRS2	ACH-000689
QKI	BEST3	ACH-000689
RAP1B	VDR	ACH-000689
RPAP3	FRS2	ACH-000689
RPAP3	RAB3IP	ACH-000689
SLC35E3	DCTN2	ACH-000689
SLC6A7	VDR	ACH-000689
TEX49	FRS2	ACH-000689
ASB7	ALDH1A3	ACH-000100
FOXO1	PAX3	ACH-000100
FXYD7	FNBP1L	ACH-000100
IFNG-AS1	RPSAP52	ACH-000100
MYT1L	PXDN	ACH-000100
RPTOR	CCDC137	ACH-000100
SS18	RAB31	ACH-000100
AVPI1	TRPC4AP	ACH-000719
BRK1	LDLR	ACH-000719
CCDC7	GDA	ACH-000719
COL4A1	NUMB	ACH-000719
DEAF1	RNH1	ACH-000719
GPR75-ASB3	PSME4	ACH-000719
LINC00243	RXFP1	ACH-000719
MRPS23	MSI2	ACH-000719
NECTIN2	RELB	ACH-000719
PDE4D	DEPDC1B	ACH-000719
RPS6KB1	CLTC	ACH-000719
RXFP1	PPP1R18	ACH-000719
SHROOM2	TBL1X	ACH-000719
TSG101	EXT1	ACH-000719
ABHD17AP3	PTPN14	ACH-000348
MAGEA8	ZDHHC15	ACH-000348
OCIAD1	OCIAD2	ACH-000242
POLR3K	CORO7	ACH-000242
SETD2	CCDC12	ACH-000242
TACC3	FGFR3	ACH-000242
TNFRSF21	ADGRF1	ACH-000242
ALDH2	EEA1	ACH-000614
ANKS1B	RFTN2	ACH-000614
APOOL	PHKA2	ACH-000614
CXorf57	IL1RAPL1	ACH-000614
DLG2	ARHGAP42	ACH-000614
GYG2	FAM120C	ACH-000614
HMGB1P27	OLA1	ACH-000614
IMMP2L	DOCK4	ACH-000614
KCTD14	GAB2	ACH-000614
KLC4	RPL7L1	ACH-000614
MRPL2	RPL7L1	ACH-000614
NAALADL2	NLGN1	ACH-000614
NLN	PPWD1	ACH-000614
OLA1	EEA1	ACH-000614
PABPC5-AS1	ALG13	ACH-000614
PGAP1	ANKRD44	ACH-000614
PICALM	TYR	ACH-000614
PPFIA1	RAB30	ACH-000614
RAD9B	ATXN2	ACH-000614
TMCC3	HIBCH	ACH-000614
UHRF1BP1L	ACTR6	ACH-000614
HSP90B1	C12orf73	ACH-000670
KCNJ6	DSCR4	ACH-000670
KIRREL3	JAM3	ACH-000670
LRRC53	TDG	ACH-000670
MUC19	CNTN1	ACH-000670
TBCB	CAPNS1	ACH-000670
VMP1	RPS6KB1	ACH-000670
WNT2	DNAJB6	ACH-000670
KDM1B	TMEM242	ACH-000254
NADSYN1	TPCN2	ACH-000254
WNK2	ANP32B	ACH-000254
C7orf57	ABCA13	ACH-000188
FLT3LG	RCN3	ACH-000188
MAST1	DNASE2	ACH-000188
SHANK2	CTTN	ACH-000188
ZNF638	DYSF	ACH-000188
GNE	KIF24	ACH-000181
IFT122	TNS4	ACH-000181
MYH11	NBR1	ACH-000181
NCOA7	NSD1	ACH-000181
RUNX1	CFAP298	ACH-000181
ABCC8	TEAD1	ACH-000655
ANKRD20A19P	PPP4R1	ACH-000655
BPHL	G2E3	ACH-000655
CEP126	DDX10	ACH-000655
LINC01184	CDC25C	ACH-000655
MUC2	PAX6	ACH-000655
PRR16	MIR155HG	ACH-000655
TTC17	PDHX	ACH-000655
UBR7	BTBD7	ACH-000655
SLC1A2	PAMR1	ACH-000376
C17orf98	PIP4K2B	ACH-000441
D2HGDH	LINC01237	ACH-000441
ING1	RAB20	ACH-000441
RPL23	PIP4K2B	ACH-000441
SLC44A2	ILF3	ACH-000441
ASCL1	TXNRD1	ACH-000790
COL4A1	MIGA1	ACH-000790
ME2	PPP6R3	ACH-000790
OTOA	CLEC16A	ACH-000790
TNRC18	AUTS2	ACH-000790
FXR1	MBNL1	ACH-000099
ITPR1	SETMAR	ACH-000099
AKAP11	RNF219	ACH-001189
ARHGAP24	TYW3	ACH-001189
AVIL	MARS	ACH-001189
DNAH12	ANXA7	ACH-001189
DNAJC2	POLR2J3	ACH-001189
EEF1AKMT3	AGAP2	ACH-001189
EPHA2	RERE	ACH-001189
EVL	RCOR1	ACH-001189
FLVCR1	RPS6KC1	ACH-001189
FOXO1	PAX3	ACH-001189
HUS1	TNS3	ACH-001189
IRAK2	THUMPD3-AS1	ACH-001189
KCNK12	IKZF2	ACH-001189
LRR1	KLHDC1	ACH-001189
MAB21L3	JARID2	ACH-001189
MAP2K5	FBXO11	ACH-001189
MROH3P	MAD1L1	ACH-001189
MXI1	DUSP5	ACH-001189
NUDT9	SETD5	ACH-001189
PAX3	FOXO1	ACH-001189
PDCD11	MCMBP	ACH-001189
RPL29P30	THSD4	ACH-001189
SDK2	NADK2	ACH-001189
SERHL2	THSD4	ACH-001189
SLC35A1	TSHZ2	ACH-001189
TIPIN	MEGF11	ACH-001189
TTC19	TRIM16	ACH-001189
XPC	ROBO1	ACH-001189
ZNF720P1	RNF150	ACH-001189
CPM	ARHGEF7	ACH-000748
CRY1	UBE3B	ACH-000748
IPO5	R3HDM2	ACH-000748
KRT76	IRS2	ACH-000748
KRT76	R3HDM2	ACH-000748
LUM	HMGA2	ACH-000748
SPRY2	TUBGCP3	ACH-000748
STK24	KIF5A	ACH-000748
TMCO3	UBAC2	ACH-000748
C2orf27A	GPR39	ACH-000400
CBLN4	BAIAP2L1	ACH-000400
PCGF2	CISD3	ACH-000400
SH3D19	LRBA	ACH-000400
AAED1	TMEM245	ACH-000087
ASIC1	DIP2B	ACH-000087
CCR1	RHOA	ACH-000087
CSNK2A2	PCYT1A	ACH-000087
EWSR1	SMCO4	ACH-000087
FLI1	EWSR1	ACH-000087
GTPBP10	CDK14	ACH-000087
MUSK	PGM5	ACH-000087
NUDC	ARID1A	ACH-000087
PSMA3	ARID4A	ACH-000361
SPG7	RSPRY1	ACH-000361
ARMC8	STAG1	ACH-000145
IGF1R	CPEB1	ACH-000145
KCNMB3	RYK	ACH-000145
KRT43P	BRCA1	ACH-000145
NPLOC4	ACACA	ACH-000145
PLIN1	IGF1R	ACH-000145
TICRR	RPS17	ACH-000145
TMOD1	NCBP1	ACH-000145
TRPC3	RFFL	ACH-000145
YAE1D1	RALA	ACH-000145
YEATS2	TYW1B	ACH-000145
LINC00616	COQ2	ACH-000309
LINC01019	FASTKD3	ACH-000309
AGAP2	ZBTB26	ACH-000465
CDH18	CCDC183	ACH-000465
FBXL7	B4GALNT3	ACH-000465
GALNT9	OSBPL8	ACH-000465
METTL9	OTOA	ACH-000465
NUMB	FUT8	ACH-000465
OCEL1	BABAM1	ACH-000465
PSEN1	PPP1R12A	ACH-000465
SLC6A3	TERT	ACH-000465
TSPAN9	SLC6A3	ACH-000465
ABCC9	OR2A1-AS1	ACH-000615
CEP250	DDX27	ACH-000615
LINC00511	SLC39A11	ACH-000615
RASSF3	EPS15	ACH-000615
RTF2	ARFGEF2	ACH-000615
STK38L	MRPS35	ACH-000615
VAPA	ZNF236	ACH-000615
YARS	ZBTB8OS	ACH-000615
PPP1R1B	LASP1	ACH-001190
STXBP5-AS1	UTRN	ACH-000810
GCOM1	BNIP2	ACH-000423
MKRN3	TUBGCP5	ACH-000423
RSPRY1	FTO	ACH-000423
EFNA3	TUFT1	ACH-000730
MRPL21	FSTL5	ACH-000730
MRPL21	RCC1	ACH-000730
PMVK	S100A13	ACH-000730
SCAMP3	C1orf43	ACH-000730
SDHD	DIXDC1	ACH-000730
SHANK2-AS2	PPFIA1	ACH-000730
TRIM37	CTTN	ACH-000730
UBC	SCARB1	ACH-000730
VPS72	UBE2Q1	ACH-000730
CHST11	TXNRD1	ACH-000665
FBLN2	OXNAD1	ACH-000665
HAUS7	PPP1CC	ACH-000665
LSAMP	ZBTB20	ACH-000665
PHKA1	HDAC8	ACH-000665
ROCK2	PPIG	ACH-000665
VAT1L	WWOX	ACH-000665
WWOX	USP9Y	ACH-000665
ARHGEF1	PPP2R1A	ACH-000366
DYTN	THADA	ACH-000366
FARSB	METAP1D	ACH-000366
GACAT3	NBAS	ACH-000366
KIF5C	UBR3	ACH-000366
LRRFIP1	OLA1	ACH-000366
MAML2	CTSC	ACH-000366
SPAG16	DBI	ACH-000366
TBC1D30	TIMELESS	ACH-000366
UTP6	DCUN1D1	ACH-000366
KCNJ6	DSCR4	ACH-000341
RAB11FIP4	NF1	ACH-000341
ATE1	FGFR2	ACH-000149
EXOC4	PVT1	ACH-000149
PVT1	EXOC4	ACH-000149
RRAS	PPP1R12C	ACH-000149
ACTN3	HOOK2	ACH-000811
ADCY6	SPATS2	ACH-000811
CENPX	SLC38A10	ACH-000811
COL4A3	AGFG1	ACH-000811
CPSF4L	FAM104A	ACH-000811
CTCF	PSKH1	ACH-000811
ERC2	NECAP2	ACH-000811
FAM213A	RPARP-AS1	ACH-000811
GRAMD4	TBC1D22A	ACH-000811
HIF1A	SPINT1	ACH-000811
KANSL1	GMEB2	ACH-000811
MLPH	LRRFIP1	ACH-000811
MYO18A	FAM222B	ACH-000811
NBR1	C20orf194	ACH-000811
NTN4	CENPX	ACH-000811
PI4K2B	FBXO42	ACH-000811
PLA2G15	SLC7A6	ACH-000811
RFX2	FBXL20	ACH-000811
SLC44A3-AS1	F3	ACH-000811
SMCO2	PPFIBP1	ACH-000811
SYT16	HIF1A	ACH-000811
ZZEF1	UBE2G1	ACH-000811
CDKN2A	MTAP	ACH-000504
NBEA	PLAA	ACH-000504
ATE1	FGFR2	ACH-000581
CASC21	LRRC4C	ACH-000581
CD44	PVT1	ACH-000581
DYNLRB2	CMIP	ACH-000581
KIAA1549L	ALX4	ACH-000581
PLPP4	FGFR2	ACH-000581
SLC1A2	PVT1	ACH-000581
UBC	NCOR2	ACH-000581
FOXH1	PPP1R16A	ACH-000989
AHSP	USP43	ACH-000483
ANKRD34A	RNF115	ACH-000483
CSNK1D	CCDC57	ACH-000483
PNPT1	CCDC88A	ACH-000483
SEPT5	GNB1L	ACH-000483
TTC23L	SKP2	ACH-000483
TULP3	GREB1L	ACH-000483
ZNF385D	ZNF268	ACH-000483
CDCA2	DOCK5	ACH-000955
ERICH5	MATN2	ACH-000420
EYS	HELLS	ACH-000420
DMD	TCF12	ACH-000303
ZNF595	ARHGEF10L	ACH-000303
ZNF75D	TAB3	ACH-000303
QARS	UQCRC1	ACH-000991
RAPGEF4	MAP3K20	ACH-000991
APC	TPST1	ACH-000722
CHRFAM7A	FAN1	ACH-000722
CHRNA7	FAN1	ACH-000722
DAPK2	SPG11	ACH-000722
IQCH	PAQR5	ACH-000722
PDHX	ITPR1	ACH-000722
PLCH1	SLC33A1	ACH-000722
SLC1A2	APIP	ACH-000722
SLC1A2	LMNTD2	ACH-000722
STARD9	CHD2	ACH-000722
TPST1	APC	ACH-000722
USP3	CYFIP1	ACH-000722
ZNF280D	CIB2	ACH-000722
AMN1	TEAD4	ACH-000114
C12orf60	EGLN2	ACH-000114
CDKN2B-AS1	FOCAD	ACH-000114
CLIP3	ZNF461	ACH-000114
CPNE8	RHPN2	ACH-000114
DIP2B	MRPS10	ACH-000114
INTS13	KIF21A	ACH-000114
LEUTX	PAK4	ACH-000114
NUMBL	ECH1	ACH-000114
ENDOV	TUBA1C	ACH-000652
NUP160	FNBP4	ACH-000652
R3HDML	HNF4A	ACH-000652
TRERF1	REV3L	ACH-000652
CD34	SOX13	ACH-000437
EME1	ITGB3	ACH-000437
GPM6A	AKT3	ACH-000437
IFIT2	PAPSS2	ACH-000437
SUGCT	CDK13	ACH-000437
UGCG	GNG10	ACH-000437
ULK4	VGLL4	ACH-000437
SMC2	ZNF462	ACH-000489
DCC	ZNF407	ACH-000890
PDGFD	YAP1	ACH-000890
TOGARAM1	PRPF39	ACH-000890
CA3	POMK	ACH-000236
CASC8	CCAT1	ACH-000236
QKI	WDR27	ACH-000236
SRPK1	HDDC2	ACH-000236
WDR27	QKI	ACH-000236
ANKRD40	LRRC59	ACH-000470
CDC25B	MAVS	ACH-000470
LIPE-AS1	VRK3	ACH-000470
LRR1	RPL36AL	ACH-000470
RPL36AL	LRR1	ACH-000470
SNTG1	ATP5F1A	ACH-000470
TNKS2	BTAF1	ACH-000470
VRK3	ARHGAP35	ACH-000470
FABP1	ST5	ACH-000566
LRRC37A3	KANSL1	ACH-000566
TXNIP	LIX1L	ACH-000566
UBC	NCOR2	ACH-000566
EDNRA	EVC2	ACH-000883
KIT	CHIC2	ACH-000883
PKP3	AARS2	ACH-000883
BAIAP2	RNF213	ACH-000384
BAIAP2L1	FGFR3	ACH-000384
DOCK3	RBM6	ACH-000384
KANSL1	PCCA	ACH-000384
LIPK	CTNNA3	ACH-000384
NMRK1	GSN	ACH-000384
PCSK5	RABGAP1	ACH-000384
SLC25A4	FHOD3	ACH-000384
STARD10	FCHSD2	ACH-000384
UGCG	GNG10	ACH-000384
AQP4-AS1	RIOK3	ACH-000669
DCLK1	AEBP2	ACH-000669
MTCH2	CELF1	ACH-000669
P2RY8	ASMTL	ACH-000680
CBFB	RERG	ACH-000147
CROCC	NBPF1	ACH-000147
FAM149B1	VPS26A	ACH-000147
LINC01511	KIAA0232	ACH-000147
MAFA	TOP1MT	ACH-000147
NUTM2B-AS1	ECD	ACH-000147
SH3BP5	VGLL4	ACH-000147
COQ3	FAXC	ACH-000571
CYP1A1	EDC3	ACH-000571
KPNA7	GNAI1	ACH-000571
MED27	SETX	ACH-000571
NRG4	BAHD1	ACH-000571
PACRG	QKI	ACH-000571
PRODH2	FRA10AC1	ACH-000571
RAB17	LRRFIP1	ACH-000571
CCT3	SMG5	ACH-000424
DNAJC3	LINC00355	ACH-000424
ELAVL4	PTBP2	ACH-000424
FBXO21	ACACB	ACH-000424
FER1L6	TAF2	ACH-000424
FLI1	EWSR1	ACH-000424
MTBP	MRPL13	ACH-000424
TAF2	ATAD2	ACH-000424
FAM133B	SUN1	ACH-000488
INA	NF1	ACH-000488
MAP7	NHSL1	ACH-000488
MOCOS	FHOD3	ACH-000488
OGFOD3	B3GNTL1	ACH-000488
POU2F1	MPZL1	ACH-000488
RNF135	FANCI	ACH-000488
RYR1	ACTN4	ACH-000488
VMP1	RPS6KB1	ACH-000488
DAZAP2	ATXN7	ACH-000353
LINC01252	LARP4	ACH-000353
MOB1B	LARGE1	ACH-000353
PBXIP1	TUFT1	ACH-000353
SLC11A2	FLNB	ACH-000353
SMC6	TRMT10C	ACH-000353
CHST11	CERCAM	ACH-000647
CLTC	VMP1	ACH-000647
ITGA1	ITGA2	ACH-000647
USH1C	PIK3C2A	ACH-000647
BSCL2	AHNAK	ACH-000772
HNRNPUL2-BSCL2	AHNAK	ACH-000772
FAM46C	MAN1A2	ACH-000917
GSKIP	PAPOLA	ACH-000917
IKZF3	PPP6R3	ACH-000917
NLK	TAOK1	ACH-000917
S100A7A	INTS3	ACH-000917
SCEL	KLF12	ACH-000917
SLC22A3	AGPAT4	ACH-000917
SNRPD1	TTC39C	ACH-000917
