sample_name	sample_alias-ccle	sample_alias-sanger	primary_site	tumor_type	tumor_type_refined	sanger_cancer_type	sanger_cancer_type_detail
ACH-000210	CADOES1_BONE	SIDM00961	Bone	Ewings_Sarcoma	Ewings_sarcoma	Ewing's Sarcoma	Ewing's Sarcoma
ACH-000211	DAOY_CENTRAL_NERVOUS_SYSTEM	SIDM00887	Central_Nervous_System	medulloblastoma	medulloblastoma	Other Solid Carcinomas	Medulloblastoma 
ACH-000212	CAL120_BREAST	SIDM00940	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-000217	JHH6_LIVER	SIDM00615	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000219	A375_SKIN	SIDM00795	Skin	melanoma	melanoma	Melanoma	Amelanotic Melanoma
ACH-000231	KALS1_CENTRAL_NERVOUS_SYSTEM	SIDM00613	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000235	PANC0403_PANCREAS	SIDM01137	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000236	SW1417_LARGE_INTESTINE	SIDM00812	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000242	RT4_URINARY_TRACT	SIDM01085	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000243	DANG_PANCREAS	SIDM00950	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Adenocarcinoma
ACH-000244	DKMG_CENTRAL_NERVOUS_SYSTEM	SIDM00947	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000248	AU565_BREAST	SIDM00898	Breast	breast	breast	Breast Carcinoma	Breast Adenocarcinoma
ACH-000249	CL11_LARGE_INTESTINE	SIDM00944	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000250	KMRC20_KIDNEY	SIDM00609	Kidney	kidney	kidney	Kidney Carcinoma	Clear Cell Renal Cell Carcinoma
ACH-000252	LS1034_LARGE_INTESTINE	SIDM00681	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Cecum Adenocarcinoma
ACH-000254	SCC15_UPPER_AERODIGESTIVE_TRACT	SIDM01083	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Oral Cavity Carcinoma	Tongue Squamous Cell Carcinoma
ACH-000257	CORL279_LUNG	SIDM00511	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000258	DU4475_BREAST	SIDM01001	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-000259	KELLY_AUTONOMIC_GANGLIA	SIDM01009	Autonomic_Ganglia	neuroblastoma	neuroblastoma	Neuroblastoma	Neuroblastoma
ACH-000264	CALU6_LUNG	SIDM00921	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Non-Small Cell Lung Carcinoma
ACH-000265	KP4_PANCREAS	SIDM00301	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Carcinoma
ACH-000269	AM38_CENTRAL_NERVOUS_SYSTEM	SIDM00492	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
