sample_name	sample_alias-ccle	sample_alias-sanger	primary_site	tumor_type	tumor_type_refined	sanger_cancer_type	sanger_cancer_type_detail
ACH-000571	T98G_CENTRAL_NERVOUS_SYSTEM	SIDM01171	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000572	G361_SKIN	SIDM00857	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000574	FUOV1_OVARY	SIDM01040	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000577	JHH2_LIVER	SIDM00617	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000580	C32_SKIN	SIDM00890	Skin	melanoma	melanoma	Melanoma	Amelanotic Melanoma
ACH-000581	SNU16_STOMACH	SIDM01145	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Carcinoma
ACH-000584	JHOS4_OVARY	SIDM00303	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000585	EPLC272H_LUNG	SIDM01044	Lung	lung_NSC	lung_NSC	Other Solid Carcinomas	Lung Mucoepidermoid Carcinoma
ACH-000586	NCIH1876_LUNG	SIDM00766	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000587	NCIH1975_LUNG	SIDM00759	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000589	NCIH1437_LUNG	SIDM00734	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000596	LCLC97TM1_LUNG	SIDM00344	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Large Cell Lung Carcinoma
ACH-000601	MIAPACA2_PANCREAS	SIDM00505	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000603	BEN_LUNG	SIDM00990	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Non-Small Cell Lung Carcinoma
ACH-000605	TE6_OESOPHAGUS	SIDM00328	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000610	NCIH2227_LUNG	SIDM00730	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000614	RVH421_SKIN	SIDM00401	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000615	SKMEL28_SKIN	SIDM00081	Skin	melanoma	melanoma	Melanoma	Cutaneous Melanoma
ACH-000616	HS746T_STOMACH	SIDM00665	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
ACH-000617	OVCAR4_OVARY	SIDM00092	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000620	JHH1_LIVER	SIDM00618	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000621	MDAMB157_BREAST	SIDM00529	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-000624	HCC1806_BREAST	SIDM00875	Breast	breast	breast	Breast Carcinoma	Squamous Cell Breast Carcinoma Acantholytic Variant
ACH-000625	HEP3B217_LIVER	SIDM00672	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000628	NCIH596_LUNG	SIDM01127	Lung	lung_NSC	lung_NSC	Other Solid Carcinomas	Adenosquamous Lung Carcinoma
ACH-000631	KS1_CENTRAL_NERVOUS_SYSTEM	SIDM00555	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000633	FU97_STOMACH	SIDM00503	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
ACH-000637	KYSE520_OESOPHAGUS	SIDM01025	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000638	NCIH441_LUNG	SIDM00925	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Papillary Lung Adenocarcinoma
ACH-000639	NCIH211_LUNG	SIDM00704	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000643	HDQP1_BREAST	SIDM01062	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-000647	TE1_OESOPHAGUS	SIDM00369	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000648	NCIH28_PLEURA	SIDM00720	Pleura	mesothelioma	mesothelioma	Mesothelioma	Pleural Sarcomatoid Mesothelioma
ACH-000650	IGR37_SKIN	SIDM01066	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000652	SUIT2_PANCREAS	SIDM00371	Pancreas	pancreas	pancreas	Pancreatic Carcinoma	Pancreatic Ductal Adenocarcinoma
ACH-000655	SF268_CENTRAL_NERVOUS_SYSTEM	SIDM00085	Central_Nervous_System	glioma	glioma	Glioma	Astrocytoma
ACH-000657	A2780_OVARY	SIDM00210	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Endometrioid Adenocarcinoma
ACH-000663	OVTOKO_OVARY	SIDM00425	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Clear Cell Adenocarcinoma
ACH-000665	SKMES1_LUNG	SIDM01103	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000666	NCIH1355_LUNG	SIDM00645	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000667	HCC44_LUNG	SIDM01069	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000668	HCC70_BREAST	SIDM00673	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000669	SW900_LUNG	SIDM01158	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000670	SBC5_LUNG	SIDM00368	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000672	IALM_LUNG	SIDM00306	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Large Cell Lung Carcinoma
ACH-000674	NUGC4_STOMACH	SIDM00570	Stomach	stomach	stomach	Gastric Carcinoma	Signet Ring Cell Gastric Adenocarcinoma
ACH-000675	NCIH1734_LUNG	SIDM00739	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000679	OE19_OESOPHAGUS	SIDM00479	Oesophagus	esophagus	esophagus	Esophageal Carcinoma	Esophageal Adenocarcinoma
ACH-000680	SW948_LARGE_INTESTINE	SIDM00832	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000681	A549_LUNG	SIDM00903	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000688	OV7_OVARY	SIDM00474	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Carcinoma
ACH-000689	RH18_SOFT_TISSUE	SIDM00454	Soft_Tissue	soft_tissue	soft_tissue	Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma
ACH-000691	HCC2157_BREAST	SIDM00774	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000693	KYSE180_OESOPHAGUS	SIDM01030	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000696	OVCAR8_OVARY	SIDM00090	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000698	DMS53_LUNG	SIDM00523	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000699	HCC1395_BREAST	SIDM00884	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000704	OAW42_OVARY	SIDM00480	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Cystadenocarcinoma
ACH-000706	EKVX_LUNG	SIDM00119	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Non-Small Cell Lung Carcinoma
ACH-000713	CAOV3_OVARY	SIDM00919	Ovary	ovary	ovary	Ovarian Carcinoma	High Grade Ovarian Serous Adenocarcinoma
ACH-000716	TT2609C02_THYROID	SIDM00418	Thyroid	thyroid	thyroid	Thyroid Gland Carcinoma	Follicular Thyroid Carcinoma
ACH-000717	COLO680N_OESOPHAGUS	SIDM00956	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000718	NCIH2291_LUNG	SIDM00728	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000719	RMGI_OVARY	SIDM00352	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Clear Cell Adenocarcinoma
ACH-000722	SNUC1_LARGE_INTESTINE	SIDM01197	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000724	HT1376_URINARY_TRACT	SIDM00678	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000725	HCC202_BREAST	SIDM00870	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000729	NCIH1963_LUNG	SIDM00760	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000730	SKMEL5_SKIN	SIDM00080	Skin	melanoma	melanoma	Melanoma	Cutaneous Melanoma
ACH-000738	GB1_CENTRAL_NERVOUS_SYSTEM	SIDM00581	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000740	A253_SALIVARY_GLAND	SIDM00796	Salivary_Gland	other	upper_aerodigestive	Head and Neck Carcinoma	Salivary Gland Squamous Cell Carcinoma
ACH-000744	NCIH1623_LUNG	SIDM00747	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000747	NCIH1703_LUNG	SIDM00740	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000748	SJSA1_BONE	SIDM01112	Bone	osteosarcoma	osteosarcoma	Osteosarcoma	Osteosarcoma
ACH-000749	DMS273_LUNG	SIDM00522	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000752	NCIH196_LUNG	SIDM00761	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000755	HCC2218_BREAST	SIDM00772	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000756	GI1_CENTRAL_NERVOUS_SYSTEM	SIDM00273	Central_Nervous_System	glioma	glioma	Glioblastoma	Gliosarcoma
ACH-000759	MDAMB175VII_BREAST	SIDM00633	Breast	breast	breast	Breast Carcinoma	Invasive Ductal Carcinoma not Otherwise Specified
ACH-000766	NCIH1648_LUNG	SIDM00746	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000767	NCIH526_LUNG	SIDM01128	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000769	LK2_LUNG	SIDM00548	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000772	TE441T_SOFT_TISSUE	SIDM01173	Soft_Tissue	soft_tissue	soft_tissue	Rhabdomyosarcoma	Rhabdomyosarcoma
ACH-000776	ONS76_CENTRAL_NERVOUS_SYSTEM	SIDM00567	Central_Nervous_System	medulloblastoma	medulloblastoma	Other Solid Carcinomas	Medulloblastoma 
ACH-000778	HSC3_UPPER_AERODIGESTIVE_TRACT	SIDM00589	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Oral Cavity Carcinoma	Tongue Squamous Cell Carcinoma
ACH-000780	NCIH1105_LUNG	SIDM00652	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000781	NCIH2023_LUNG	SIDM00753	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Non-Small Cell Lung Carcinoma
ACH-000783	CAMA1_BREAST	SIDM00920	Breast	breast	breast	Breast Carcinoma	Breast Adenocarcinoma
ACH-000784	KYSE70_OESOPHAGUS	SIDM01024	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000787	LXF289_LUNG	SIDM00339	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000788	A2058_SKIN	SIDM00797	Skin	melanoma	melanoma	Melanoma	Amelanotic Melanoma
ACH-000790	SHP77_LUNG	SIDM01078	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000792	BFTC909_KIDNEY	SIDM00988	Kidney	kidney	kidney	Kidney Carcinoma	Renal Cell Carcinoma
ACH-000793	KATOIII_STOMACH	SIDM00687	Stomach	stomach	stomach	Gastric Carcinoma	Signet Ring Cell Gastric Adenocarcinoma
ACH-000800	NCIH446_LUNG	SIDM00965	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000802	BFTC905_URINARY_TRACT	SIDM00989	Urinary_Tract	urinary_tract	urinary_tract	Bladder Carcinoma	Bladder Carcinoma
ACH-000803	COLO668_LUNG	SIDM00143	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000809	KYSE410_OESOPHAGUS	SIDM01028	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000810	SKMEL30_SKIN	SIDM00392	Skin	melanoma	melanoma	Melanoma	Cutaneous Melanoma
ACH-000811	SKOV3_OVARY	SIDM00079	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Serous Cystadenocarcinoma
ACH-000812	COLO783_SKIN	SIDM00955	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000816	NCIH524_LUNG	SIDM01129	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000819	LN18_CENTRAL_NERVOUS_SYSTEM	SIDM00685	Central_Nervous_System	glioma	glioma	Glioblastoma	Glioblastoma
ACH-000823	KYSE140_OESOPHAGUS	SIDM01032	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000824	KYSE510_OESOPHAGUS	SIDM01026	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000826	CAL12T_LUNG	SIDM00939	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Non-Small Cell Lung Carcinoma
ACH-000827	WM793_SKIN	SIDM00973	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000830	NCIH1436_LUNG	SIDM00697	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000835	GCT_SOFT_TISSUE	SIDM00853	Soft_Tissue	soft_tissue	soft_tissue	Other Solid Carcinomas	Malignant Fibrous Histiocytoma
ACH-000841	NCIH2087_LUNG	SIDM00708	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000843	HARA_LUNG	SIDM00598	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT	SIDM00860	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Head and Neck Carcinoma	Hypopharyngeal Squamous Cell Carcinoma
ACH-000847	HGC27_STOMACH	SIDM00290	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Carcinoma
ACH-000848	JHH7_LIVER	SIDM00614	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000849	MDAMB468_BREAST	SIDM00628	Breast	breast	breast	Breast Carcinoma	Breast Adenocarcinoma
ACH-000853	NCIH661_LUNG	SIDM01122	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Large Cell Lung Carcinoma
ACH-000855	KYSE150_OESOPHAGUS	SIDM01031	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000857	CAL851_BREAST	SIDM00928	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-000858	KNS62_LUNG	SIDM00606	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000859	HCC1954_BREAST	SIDM00872	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000860	NCIH358_LUNG	SIDM00718	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Bronchiolo-Alveolar Lung Carcinoma
ACH-000861	HOP62_LUNG	SIDM00133	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000864	COLO684_ENDOMETRIUM	SIDM00142	Endometrium	endometrium	endometrium	Endometrial Carcinoma	Endometrial Adenocarcinoma
ACH-000865	KYSE450_OESOPHAGUS	SIDM01027	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000866	NCIH1048_LUNG	SIDM00654	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000867	CHAGOK1_LUNG	SIDM00924	Lung	lung_NSC	lung_NSC	Other Solid Carcinomas	Bronchogenic Carcinoma
ACH-000869	NCIH1568_LUNG	SIDM00750	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000871	NCIH510_LUNG	SIDM00927	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000873	KYSE270_OESOPHAGUS	SIDM01029	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000878	HCC15_LUNG	SIDM01072	Lung	lung_NSC	lung_NSC	Squamous Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
ACH-000880	AGS_STOMACH	SIDM00850	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
ACH-000881	MELJUSO_SKIN	SIDM00336	Skin	melanoma	melanoma	Melanoma	Cutaneous Melanoma
ACH-000882	IGR1_SKIN	SIDM01060	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000883	SW1783_CENTRAL_NERVOUS_SYSTEM	SIDM01164	Central_Nervous_System	glioma	glioma	Glioma	Anaplastic Astrocytoma
ACH-000886	NCIH2009_LUNG	SIDM00756	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000890	SW1271_LUNG	SIDM01156	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-000892	NCIH1563_LUNG	SIDM00751	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000893	NCIH1651_LUNG	SIDM00744	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000894	NCIH1869_LUNG	SIDM00768	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Non-Small Cell Lung Carcinoma
ACH-000900	NCIH23_LUNG	SIDM00138	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000902	CAL148_BREAST	SIDM00938	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-000903	FTC133_THYROID	SIDM00213	Thyroid	thyroid	thyroid	Thyroid Gland Carcinoma	Follicular Thyroid Carcinoma
ACH-000906	ES2_OVARY	SIDM00861	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Clear Cell Adenocarcinoma
ACH-000910	MDAMB453_BREAST	SIDM00272	Breast	breast	breast	Breast Carcinoma	Breast Adenocarcinoma
ACH-000911	NUGC3_STOMACH	SIDM00572	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
ACH-000915	IPC298_SKIN	SIDM01059	Skin	melanoma	melanoma	Melanoma	Cutaneous Melanoma
ACH-000916	NCIH1573_LUNG	SIDM00749	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000917	TE4_OESOPHAGUS	SIDM00250	Oesophagus	esophagus	esophagus	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma
ACH-000919	IM95_STOMACH	SIDM00602	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Adenocarcinoma
ACH-000926	HT55_LARGE_INTESTINE	SIDM00541	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Carcinoma
ACH-000927	BT474_BREAST	SIDM00963	Breast	breast	breast	Breast Carcinoma	Invasive Ductal Carcinoma not Otherwise Specified
ACH-000929	NCIH2110_LUNG	SIDM00703	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Non-Small Cell Lung Carcinoma
ACH-000930	HCC1569_BREAST	SIDM00878	Breast	breast	breast	Breast Carcinoma	Ductal Breast Carcinoma
ACH-000940	AN3CA_ENDOMETRIUM	SIDM00901	Endometrium	endometrium	endometrium	Endometrial Carcinoma	Endometrial Adenocarcinoma
ACH-000945	NCIH650_LUNG	SIDM01124	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000947	OVK18_OVARY	SIDM00238	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Endometrioid Adenocarcinoma
ACH-000949	TGBC11TKB_STOMACH	SIDM00251	Stomach	stomach	stomach	Gastric Carcinoma	Gastric Carcinoma
ACH-000951	NCIH2342_LUNG	SIDM00727	Lung	lung_NSC	lung_NSC	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ACH-000955	SNU407_LARGE_INTESTINE	SIDM00214	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000963	CCK81_LARGE_INTESTINE	SIDM00487	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000966	IGROV1_OVARY	SIDM00151	Ovary	ovary	ovary	Ovarian Carcinoma	Ovarian Endometrioid Adenocarcinoma
ACH-000968	COLO792_SKIN	SIDM00140	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-000971	HCT116_LARGE_INTESTINE	SIDM00783	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Carcinoma
ACH-000976	HUCCT1_BILIARY_TRACT	SIDM00587	Biliary_Tract	bile_duct	bile_duct	Biliary Tract Carcinoma	Intrahepatic Cholangiocarcinoma
ACH-000979	DU145_PROSTATE	SIDM00120	Prostate	prostate	prostate	Prostate Carcinoma	Prostate Carcinoma
ACH-000985	LS411N_LARGE_INTESTINE	SIDM00660	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Cecum Adenocarcinoma
ACH-000986	HT115_LARGE_INTESTINE	SIDM00534	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Carcinoma
ACH-000989	SNU175_LARGE_INTESTINE	SIDM00216	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-000991	SNU81_LARGE_INTESTINE	SIDM00193	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-001016	BECKER_CENTRAL_NERVOUS_SYSTEM	SIDM00490	Central_Nervous_System	glioma	glioma	Glioma	Astrocytoma
ACH-001023	CGTHW1_THYROID	SIDM01248	Thyroid	thyroid	thyroid	Thyroid Gland Carcinoma	Squamous Cell Thyroid Gland Carcinoma
ACH-001024	CHL1_SKIN	SIDM01228	Skin	melanoma	melanoma	Melanoma	Melanoma
ACH-001039	COLO205_LARGE_INTESTINE	SIDM00826	Large_Intestine	colorectal	colorectal	Colorectal Carcinoma	Colon Adenocarcinoma
ACH-001049	CPCN_LUNG	SIDM00953	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-001065	EVSAT_BREAST	SIDM01042	Breast	breast	breast	Breast Carcinoma	Breast Carcinoma
ACH-001089	HLE_LIVER	SIDM00064	Liver	liver	liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-001090	HN_UPPER_AERODIGESTIVE_TRACT	SIDM01061	Upper_Aerodigestive_Tract	upper_aerodigestive	upper_aerodigestive	Oral Cavity Carcinoma	Oral Cavity Squamous Cell Carcinoma
ACH-001126	MOGGUVW_CENTRAL_NERVOUS_SYSTEM	SIDM00504	Central_Nervous_System	glioma	glioma	Glioma	Anaplastic Astrocytoma
ACH-001138	NCIH2141_LUNG	SIDM00699	Lung	lung_small_cell	lung_small_cell	Small Cell Lung Carcinoma	Small Cell Lung Carcinoma
ACH-001189	SJRH30_SOFT_TISSUE	SIDM01095	Soft_Tissue	soft_tissue	soft_tissue	Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma
ACH-001190	SKMEL2_SKIN	SIDM00082	Skin	melanoma	melanoma	Melanoma	Melanoma
