case	comparison	snf_fda-cgc
ACH-000007	ACH-000114	0.980945599
ACH-000007	ACH-000115	0.981247614
ACH-000007	ACH-000117	0.980594154
ACH-000007	ACH-000121	0.981578465
ACH-000007	ACH-000129	0.98042586
ACH-000007	ACH-000132	0.980858657
ACH-000007	ACH-000138	0.980653684
ACH-000007	ACH-000139	0.979629816
ACH-000007	ACH-000142	0.980457058
ACH-000007	ACH-000144	0.98084585
ACH-000007	ACH-000145	0.981251008
ACH-000007	ACH-000147	0.981000882
ACH-000007	ACH-000148	0.981401949
ACH-000007	ACH-000149	0.980015481
ACH-000007	ACH-000159	0.980414649
ACH-000007	ACH-000161	0.979890327
ACH-000007	ACH-000171	0.980588403
ACH-000007	ACH-000174	0.981573469
ACH-000007	ACH-000176	0.980183416
ACH-000007	ACH-000181	0.980848516
ACH-000008	ACH-000001	0.980993814
ACH-000008	ACH-000007	0.979392535
ACH-000008	ACH-000008	0.427796765
ACH-000008	ACH-000009	0.981593043
ACH-000008	ACH-000012	0.980689297
ACH-000008	ACH-000015	0.981569878
ACH-000008	ACH-000023	0.980620836
ACH-000008	ACH-000030	0.98032088
ACH-000008	ACH-000035	0.980968989
ACH-000008	ACH-000040	0.980566006
ACH-000008	ACH-000042	0.981095948
ACH-000008	ACH-000047	0.980442976
ACH-000008	ACH-000052	0.978864383
ACH-000008	ACH-000055	0.97989094
ACH-000008	ACH-000062	0.979985538
ACH-000008	ACH-000067	0.980065308
ACH-000008	ACH-000078	0.981101786
ACH-000008	ACH-000082	0.981000527
ACH-000008	ACH-000087	0.981162884
ACH-000008	ACH-000092	0.981526377
ACH-000008	ACH-000094	0.980852889
ACH-000008	ACH-000098	0.980904354
ACH-000008	ACH-000099	0.980216774
ACH-000008	ACH-000100	0.981571792
ACH-000008	ACH-000102	0.98027504
ACH-000008	ACH-000103	0.980710379
ACH-000008	ACH-000107	0.980304014
ACH-000008	ACH-000109	0.979954636
ACH-000008	ACH-000111	0.980849038
ACH-000008	ACH-000114	0.980870709
ACH-000008	ACH-000115	0.981533449
ACH-000008	ACH-000117	0.980609573
ACH-000008	ACH-000121	0.981256847
ACH-000008	ACH-000129	0.980277797
ACH-000008	ACH-000132	0.980578144
ACH-000008	ACH-000138	0.980707271
ACH-000008	ACH-000139	0.979473837
ACH-000008	ACH-000142	0.980265164
ACH-000008	ACH-000144	0.981139441
ACH-000008	ACH-000145	0.981228495
ACH-000008	ACH-000147	0.981294303
ACH-000008	ACH-000148	0.980981053
ACH-000008	ACH-000149	0.980139272
ACH-000008	ACH-000159	0.980800078
ACH-000008	ACH-000161	0.979997926
ACH-000008	ACH-000171	0.98099328
ACH-000008	ACH-000174	0.981604059
ACH-000008	ACH-000176	0.980047261
ACH-000008	ACH-000181	0.981137213
ACH-000009	ACH-000001	0.980678917
ACH-000009	ACH-000007	0.981572096
ACH-000009	ACH-000008	0.981593043
ACH-000009	ACH-000009	0.428598426
ACH-000009	ACH-000012	0.981224845
ACH-000009	ACH-000015	0.979920485
ACH-000009	ACH-000023	0.980626851
ACH-000009	ACH-000030	0.981522696
ACH-000009	ACH-000035	0.980415375
ACH-000009	ACH-000040	0.980586454
ACH-000009	ACH-000042	0.980246228
ACH-000009	ACH-000047	0.980951075
ACH-000009	ACH-000052	0.981042695
ACH-000009	ACH-000055	0.98138056
ACH-000009	ACH-000062	0.981227676
ACH-000009	ACH-000067	0.981297119
ACH-000009	ACH-000078	0.980813924
ACH-000009	ACH-000082	0.980914006
ACH-000009	ACH-000087	0.980383163
ACH-000009	ACH-000092	0.979728989
ACH-000009	ACH-000094	0.980618982
ACH-000009	ACH-000098	0.97977699
ACH-000009	ACH-000099	0.981149244
ACH-000009	ACH-000100	0.97943594
ACH-000009	ACH-000102	0.980563544
ACH-000009	ACH-000103	0.980756105
ACH-000009	ACH-000107	0.980265503
ACH-000009	ACH-000109	0.981224787
ACH-000009	ACH-000111	0.980115829
ACH-000009	ACH-000114	0.980358628
ACH-000009	ACH-000115	0.980172515
ACH-000009	ACH-000117	0.980813789
ACH-000009	ACH-000121	0.979825097
ACH-000009	ACH-000129	0.981196287
ACH-000009	ACH-000132	0.980429568
ACH-000009	ACH-000138	0.98097083
ACH-000009	ACH-000139	0.980875393
ACH-000009	ACH-000142	0.980732604
ACH-000009	ACH-000144	0.980022939
ACH-000009	ACH-000145	0.979838462
ACH-000009	ACH-000147	0.980903742
ACH-000009	ACH-000148	0.980159631
ACH-000009	ACH-000149	0.980740639
ACH-000009	ACH-000159	0.980047194
ACH-000009	ACH-000161	0.980862367
ACH-000009	ACH-000171	0.980880965
ACH-000009	ACH-000174	0.97939093
ACH-000009	ACH-000176	0.981244454
ACH-000009	ACH-000181	0.979793594
ACH-000012	ACH-000001	0.980477399
ACH-000012	ACH-000007	0.980605556
ACH-000012	ACH-000008	0.980689297
ACH-000012	ACH-000009	0.981224845
ACH-000012	ACH-000012	0.426978363
ACH-000012	ACH-000015	0.981102855
ACH-000012	ACH-000023	0.980662212
ACH-000012	ACH-000030	0.980040505
ACH-000012	ACH-000035	0.98004028
ACH-000012	ACH-000040	0.980241931
ACH-000012	ACH-000042	0.980427869
ACH-000012	ACH-000047	0.980205783
ACH-000012	ACH-000052	0.980435073
ACH-000012	ACH-000055	0.980698065
ACH-000012	ACH-000062	0.98063046
ACH-000012	ACH-000067	0.97991996
ACH-000012	ACH-000078	0.979881832
ACH-000012	ACH-000082	0.979921386
ACH-000012	ACH-000087	0.980597379
ACH-000012	ACH-000092	0.981117297
ACH-000012	ACH-000094	0.981271384
ACH-000012	ACH-000098	0.980697099
ACH-000012	ACH-000099	0.981290907
ACH-000012	ACH-000100	0.980823786
ACH-000012	ACH-000102	0.981463269
ACH-000012	ACH-000103	0.981293273
ACH-000012	ACH-000107	0.981487035
ACH-000012	ACH-000109	0.980251676
ACH-000012	ACH-000111	0.98066012
ACH-000012	ACH-000114	0.981511649
ACH-000012	ACH-000115	0.980712253
ACH-000012	ACH-000117	0.980770815
ACH-000012	ACH-000121	0.980833169
ACH-000012	ACH-000129	0.980927169
ACH-000012	ACH-000132	0.981119367
ACH-000012	ACH-000138	0.980730986
ACH-000012	ACH-000139	0.980702659
ACH-000012	ACH-000142	0.981337051
ACH-000012	ACH-000144	0.981100625
ACH-000012	ACH-000145	0.981091508
ACH-000012	ACH-000147	0.980981712
