case	comparison	jaccard-almanac-genes
ACH-000015	ACH-000148	0.833333333
ACH-000015	ACH-000149	0.875
ACH-000015	ACH-000159	0.9375
ACH-000015	ACH-000161	0.789473684
ACH-000015	ACH-000171	0.7
ACH-000015	ACH-000174	0.933333333
ACH-000015	ACH-000176	0.888888889
ACH-000015	ACH-000181	1
ACH-000023	ACH-000001	0.866666667
ACH-000023	ACH-000007	0.928571429
ACH-000023	ACH-000008	0.909090909
ACH-000023	ACH-000009	0.9375
ACH-000023	ACH-000012	0.9
ACH-000023	ACH-000015	0.933333333
ACH-000023	ACH-000023	0
ACH-000023	ACH-000030	0.75
ACH-000023	ACH-000035	0.866666667
ACH-000023	ACH-000040	0.75
ACH-000023	ACH-000042	0.8125
ACH-000023	ACH-000047	0.75
ACH-000023	ACH-000052	0.916666667
ACH-000023	ACH-000055	0.909090909
ACH-000023	ACH-000062	0.666666667
ACH-000023	ACH-000067	0.9
ACH-000023	ACH-000078	1
ACH-000023	ACH-000082	0.866666667
ACH-000023	ACH-000087	0.888888889
ACH-000023	ACH-000092	1
ACH-000023	ACH-000094	0.857142857
ACH-000023	ACH-000098	0.909090909
ACH-000023	ACH-000099	1
ACH-000023	ACH-000100	0.714285714
ACH-000023	ACH-000102	0.666666667
ACH-000023	ACH-000103	0.666666667
ACH-000023	ACH-000107	0.875
ACH-000023	ACH-000109	0.846153846
ACH-000023	ACH-000111	0.833333333
ACH-000023	ACH-000114	0.714285714
ACH-000023	ACH-000115	0.916666667
ACH-000023	ACH-000117	0.928571429
ACH-000023	ACH-000121	0.923076923
ACH-000023	ACH-000129	0.875
ACH-000023	ACH-000132	0.933333333
ACH-000023	ACH-000138	0.666666667
ACH-000023	ACH-000139	0.818181818
ACH-000023	ACH-000142	0.9
ACH-000023	ACH-000144	0.916666667
ACH-000023	ACH-000145	0.857142857
ACH-000023	ACH-000147	0.857142857
ACH-000023	ACH-000148	0.857142857
ACH-000023	ACH-000149	0.909090909
ACH-000023	ACH-000159	0.9
ACH-000023	ACH-000161	0.866666667
ACH-000023	ACH-000171	0.947368421
ACH-000023	ACH-000174	0.75
ACH-000023	ACH-000176	0.923076923
ACH-000023	ACH-000181	1
ACH-000030	ACH-000001	0.866666667
ACH-000030	ACH-000007	1
ACH-000030	ACH-000008	1
ACH-000030	ACH-000009	0.9375
ACH-000030	ACH-000012	0.777777778
ACH-000030	ACH-000015	0.933333333
ACH-000030	ACH-000023	0.75
ACH-000030	ACH-000030	0
ACH-000030	ACH-000035	0.866666667
ACH-000030	ACH-000040	0.888888889
ACH-000030	ACH-000042	0.8125
ACH-000030	ACH-000047	0.888888889
ACH-000030	ACH-000052	0.818181818
ACH-000030	ACH-000055	0.8
ACH-000030	ACH-000062	0.857142857
ACH-000030	ACH-000067	0.777777778
ACH-000030	ACH-000078	1
ACH-000030	ACH-000082	0.866666667
ACH-000030	ACH-000087	0.888888889
ACH-000030	ACH-000092	0.9
ACH-000030	ACH-000094	0.933333333
ACH-000030	ACH-000098	0.8
ACH-000030	ACH-000099	1
ACH-000030	ACH-000100	0.875
ACH-000030	ACH-000102	0.857142857
ACH-000030	ACH-000103	0.666666667
ACH-000030	ACH-000107	1
ACH-000030	ACH-000109	0.846153846
ACH-000030	ACH-000111	0.833333333
ACH-000030	ACH-000114	0.875
ACH-000030	ACH-000115	0.916666667
ACH-000030	ACH-000117	0.928571429
ACH-000030	ACH-000121	0.833333333
ACH-000030	ACH-000129	1
ACH-000030	ACH-000132	0.933333333
ACH-000030	ACH-000138	0.769230769
ACH-000030	ACH-000139	0.916666667
ACH-000030	ACH-000142	0.9
ACH-000030	ACH-000144	0.916666667
ACH-000030	ACH-000145	0.857142857
ACH-000030	ACH-000147	0.857142857
ACH-000030	ACH-000148	0.857142857
ACH-000030	ACH-000149	1
ACH-000030	ACH-000159	0.9
ACH-000030	ACH-000161	0.785714286
ACH-000030	ACH-000171	0.823529412
ACH-000030	ACH-000174	0.888888889
ACH-000030	ACH-000176	0.833333333
ACH-000030	ACH-000181	1
ACH-000035	ACH-000001	0.8
ACH-000035	ACH-000007	0.777777778
ACH-000035	ACH-000008	0.882352941
ACH-000035	ACH-000009	0.8
ACH-000035	ACH-000012	0.8
ACH-000035	ACH-000015	0.722222222
ACH-000035	ACH-000023	0.866666667
ACH-000035	ACH-000030	0.866666667
ACH-000035	ACH-000035	0
ACH-000035	ACH-000040	0.785714286
ACH-000035	ACH-000042	0.761904762
ACH-000035	ACH-000047	0.866666667
ACH-000035	ACH-000052	0.888888889
ACH-000035	ACH-000055	0.882352941
ACH-000035	ACH-000062	0.928571429
ACH-000035	ACH-000067	0.714285714
ACH-000035	ACH-000078	1
ACH-000035	ACH-000082	0.736842105
ACH-000035	ACH-000087	0.866666667
ACH-000035	ACH-000092	0.8
ACH-000035	ACH-000094	0.789473684
ACH-000035	ACH-000098	0.733333333
ACH-000035	ACH-000099	0.9375
ACH-000035	ACH-000100	0.769230769
ACH-000035	ACH-000102	0.846153846
ACH-000035	ACH-000103	0.846153846
ACH-000035	ACH-000107	1
ACH-000035	ACH-000109	0.625
ACH-000035	ACH-000111	0.923076923
ACH-000035	ACH-000114	0.857142857
ACH-000035	ACH-000115	0.823529412
ACH-000035	ACH-000117	0.777777778
ACH-000035	ACH-000121	0.894736842
ACH-000035	ACH-000129	0.857142857
ACH-000035	ACH-000132	0.722222222
ACH-000035	ACH-000138	0.789473684
ACH-000035	ACH-000139	0.888888889
ACH-000035	ACH-000142	0.714285714
ACH-000035	ACH-000144	0.666666667
ACH-000035	ACH-000145	0.846153846
ACH-000035	ACH-000147	0.928571429
ACH-000035	ACH-000148	0.75
ACH-000035	ACH-000149	0.8125
ACH-000035	ACH-000159	0.8
ACH-000035	ACH-000161	0.909090909
ACH-000035	ACH-000171	0.65
ACH-000035	ACH-000174	0.692307692
ACH-000035	ACH-000176	0.6875
ACH-000035	ACH-000181	0.928571429
ACH-000040	ACH-000001	0.9375
ACH-000040	ACH-000007	1
ACH-000040	ACH-000008	0.8
ACH-000040	ACH-000009	0.866666667
ACH-000040	ACH-000012	0.9
ACH-000040	ACH-000015	0.933333333
ACH-000040	ACH-000023	0.75
ACH-000040	ACH-000030	0.888888889
ACH-000040	ACH-000035	0.785714286
ACH-000040	ACH-000040	0
ACH-000040	ACH-000042	0.944444444
ACH-000040	ACH-000047	0.888888889
ACH-000040	ACH-000052	0.818181818
ACH-000040	ACH-000055	0.909090909
ACH-000040	ACH-000062	0.857142857
ACH-000040	ACH-000067	0.625
ACH-000040	ACH-000078	1
ACH-000040	ACH-000082	0.866666667
ACH-000040	ACH-000087	0.75
ACH-000040	ACH-000092	0.9
ACH-000040	ACH-000094	0.933333333
ACH-000040	ACH-000098	0.8
ACH-000040	ACH-000099	1
ACH-000040	ACH-000100	0.714285714
ACH-000040	ACH-000102	0.666666667
ACH-000040	ACH-000103	0.857142857
ACH-000040	ACH-000107	1
ACH-000040	ACH-000109	0.75
ACH-000040	ACH-000111	0.833333333
ACH-000040	ACH-000114	0.714285714
ACH-000040	ACH-000115	0.916666667
ACH-000040	ACH-000117	0.846153846
ACH-000040	ACH-000121	0.833333333
ACH-000040	ACH-000129	0.875
ACH-000040	ACH-000132	0.857142857
ACH-000040	ACH-000138	0.857142857
ACH-000040	ACH-000139	0.818181818
ACH-000040	ACH-000142	0.777777778
ACH-000040	ACH-000144	0.818181818
ACH-000040	ACH-000145	0.666666667
ACH-000040	ACH-000147	0.857142857
ACH-000040	ACH-000148	0.666666667
ACH-000040	ACH-000149	0.909090909
ACH-000040	ACH-000159	0.777777778
ACH-000040	ACH-000161	0.866666667
ACH-000040	ACH-000171	0.888888889
ACH-000040	ACH-000174	0.75
ACH-000040	ACH-000176	0.833333333
ACH-000040	ACH-000181	0.857142857
ACH-000042	ACH-000001	0.7
ACH-000042	ACH-000007	0.857142857
ACH-000042	ACH-000008	0.95
ACH-000042	ACH-000009	0.869565217
ACH-000042	ACH-000012	0.888888889
ACH-000042	ACH-000015	0.611111111
ACH-000042	ACH-000023	0.8125
ACH-000042	ACH-000030	0.8125
ACH-000042	ACH-000035	0.761904762
ACH-000042	ACH-000040	0.944444444
ACH-000042	ACH-000042	0
ACH-000042	ACH-000047	0.882352941
ACH-000042	ACH-000052	0.9
ACH-000042	ACH-000055	0.894736842
ACH-000042	ACH-000062	0.9375
ACH-000042	ACH-000067	0.947368421
ACH-000042	ACH-000078	0.9375
ACH-000042	ACH-000082	0.7
ACH-000042	ACH-000087	0.944444444
ACH-000042	ACH-000092	0.823529412
ACH-000042	ACH-000094	0.863636364
ACH-000042	ACH-000098	0.894736842
ACH-000042	ACH-000099	0.882352941
ACH-000042	ACH-000100	0.941176471
ACH-000042	ACH-000102	0.9375
ACH-000042	ACH-000103	0.785714286
ACH-000042	ACH-000107	0.875
ACH-000042	ACH-000109	0.8
ACH-000042	ACH-000111	0.933333333
ACH-000042	ACH-000114	0.875
ACH-000042	ACH-000115	0.777777778
ACH-000042	ACH-000117	0.857142857
ACH-000042	ACH-000121	0.789473684
ACH-000042	ACH-000129	0.941176471
ACH-000042	ACH-000132	0.80952381
ACH-000042	ACH-000138	0.529411765
ACH-000042	ACH-000139	0.9
ACH-000042	ACH-000142	0.947368421
ACH-000042	ACH-000144	0.842105263
ACH-000042	ACH-000145	0.9375
ACH-000042	ACH-000147	0.866666667
ACH-000042	ACH-000148	0.866666667
ACH-000042	ACH-000149	0.95
ACH-000042	ACH-000159	0.947368421
ACH-000042	ACH-000161	0.555555556
ACH-000042	ACH-000171	0.619047619
ACH-000042	ACH-000174	0.882352941
ACH-000042	ACH-000176	0.954545455
ACH-000042	ACH-000181	1
ACH-000047	ACH-000001	0.785714286
ACH-000047	ACH-000007	1
ACH-000047	ACH-000008	1
ACH-000047	ACH-000009	0.9375
ACH-000047	ACH-000012	0.625
ACH-000047	ACH-000015	0.769230769
ACH-000047	ACH-000023	0.75
ACH-000047	ACH-000030	0.888888889
ACH-000047	ACH-000035	0.866666667
ACH-000047	ACH-000040	0.888888889
ACH-000047	ACH-000042	0.882352941
ACH-000047	ACH-000047	0
ACH-000047	ACH-000052	0.818181818
ACH-000047	ACH-000055	0.909090909
ACH-000047	ACH-000062	0.666666667
ACH-000047	ACH-000067	0.9
ACH-000047	ACH-000078	0.857142857
ACH-000047	ACH-000082	0.785714286
ACH-000047	ACH-000087	0.75
ACH-000047	ACH-000092	1
ACH-000047	ACH-000094	0.933333333
ACH-000047	ACH-000098	0.909090909
ACH-000047	ACH-000099	1
ACH-000047	ACH-000100	0.875
ACH-000047	ACH-000102	0.857142857
ACH-000047	ACH-000103	0.666666667
ACH-000047	ACH-000107	1
ACH-000047	ACH-000109	0.928571429
ACH-000047	ACH-000111	0.833333333
ACH-000047	ACH-000114	0.875
ACH-000047	ACH-000115	0.818181818
ACH-000047	ACH-000117	0.75
ACH-000047	ACH-000121	0.923076923
ACH-000047	ACH-000129	0.875
ACH-000047	ACH-000132	0.857142857
ACH-000047	ACH-000138	0.769230769
ACH-000047	ACH-000139	1
ACH-000047	ACH-000142	0.9
ACH-000047	ACH-000144	0.818181818
ACH-000047	ACH-000145	0.857142857
ACH-000047	ACH-000147	0.857142857
ACH-000047	ACH-000148	0.666666667
ACH-000047	ACH-000149	1
ACH-000047	ACH-000159	1
ACH-000047	ACH-000161	0.9375
ACH-000047	ACH-000171	0.947368421
ACH-000047	ACH-000174	0.888888889
ACH-000047	ACH-000176	0.923076923
ACH-000047	ACH-000181	1
ACH-000052	ACH-000001	0.823529412
ACH-000052	ACH-000007	0.941176471
ACH-000052	ACH-000008	0.846153846
ACH-000052	ACH-000009	0.888888889
ACH-000052	ACH-000012	0.833333333
ACH-000052	ACH-000015	0.944444444
ACH-000052	ACH-000023	0.916666667
ACH-000052	ACH-000030	0.818181818
ACH-000052	ACH-000035	0.888888889
ACH-000052	ACH-000040	0.818181818
ACH-000052	ACH-000042	0.9
ACH-000052	ACH-000047	0.818181818
ACH-000052	ACH-000052	0
ACH-000052	ACH-000055	0.75
ACH-000052	ACH-000062	0.9
ACH-000052	ACH-000067	0.833333333
ACH-000052	ACH-000078	0.9
ACH-000052	ACH-000082	0.823529412
ACH-000052	ACH-000087	0.555555556
ACH-000052	ACH-000092	0.833333333
ACH-000052	ACH-000094	0.944444444
ACH-000052	ACH-000098	0.846153846
ACH-000052	ACH-000099	1
ACH-000052	ACH-000100	0.909090909
ACH-000052	ACH-000102	0.9
ACH-000052	ACH-000103	0.9
ACH-000052	ACH-000107	1
ACH-000052	ACH-000109	0.8
ACH-000052	ACH-000111	0.888888889
ACH-000052	ACH-000114	0.8
ACH-000052	ACH-000115	0.933333333
ACH-000052	ACH-000117	0.8
ACH-000052	ACH-000121	0.583333333
ACH-000052	ACH-000129	1
ACH-000052	ACH-000132	0.882352941
ACH-000052	ACH-000138	0.8125
ACH-000052	ACH-000139	0.933333333
ACH-000052	ACH-000142	0.833333333
ACH-000052	ACH-000144	0.857142857
ACH-000052	ACH-000145	0.777777778
ACH-000052	ACH-000147	0.9
ACH-000052	ACH-000148	0.777777778
ACH-000052	ACH-000149	1
ACH-000052	ACH-000159	0.833333333
ACH-000052	ACH-000161	0.823529412
ACH-000052	ACH-000171	0.722222222
ACH-000052	ACH-000174	0.818181818
ACH-000052	ACH-000176	0.785714286
ACH-000052	ACH-000181	0.9
ACH-000055	ACH-000001	0.882352941
ACH-000055	ACH-000007	0.866666667
ACH-000055	ACH-000008	0.833333333
ACH-000055	ACH-000009	0.882352941
ACH-000055	ACH-000012	0.818181818
ACH-000055	ACH-000015	0.875
ACH-000055	ACH-000023	0.909090909
ACH-000055	ACH-000030	0.8
ACH-000055	ACH-000035	0.882352941
ACH-000055	ACH-000040	0.909090909
ACH-000055	ACH-000042	0.894736842
ACH-000055	ACH-000047	0.909090909
ACH-000055	ACH-000052	0.75
ACH-000055	ACH-000055	0
ACH-000055	ACH-000062	0.888888889
ACH-000055	ACH-000067	0.818181818
ACH-000055	ACH-000078	1
ACH-000055	ACH-000082	0.882352941
ACH-000055	ACH-000087	0.909090909
ACH-000055	ACH-000092	1
ACH-000055	ACH-000094	0.941176471
ACH-000055	ACH-000098	0.833333333
ACH-000055	ACH-000099	1
ACH-000055	ACH-000100	0.9
ACH-000055	ACH-000102	0.888888889
ACH-000055	ACH-000103	0.888888889
ACH-000055	ACH-000107	0.9
ACH-000055	ACH-000109	0.692307692
ACH-000055	ACH-000111	0.875
ACH-000055	ACH-000114	0.9
ACH-000055	ACH-000115	0.846153846
ACH-000055	ACH-000117	0.9375
ACH-000055	ACH-000121	0.666666667
ACH-000055	ACH-000129	1
ACH-000055	ACH-000132	0.941176471
ACH-000055	ACH-000138	0.875
ACH-000055	ACH-000139	1
ACH-000055	ACH-000142	0.916666667
ACH-000055	ACH-000144	0.928571429
ACH-000055	ACH-000145	0.888888889
ACH-000055	ACH-000147	0.888888889
ACH-000055	ACH-000148	0.888888889
ACH-000055	ACH-000149	1
ACH-000055	ACH-000159	1
ACH-000055	ACH-000161	0.882352941
ACH-000055	ACH-000171	0.705882353
ACH-000055	ACH-000174	0.909090909
ACH-000055	ACH-000176	0.666666667
ACH-000055	ACH-000181	1
ACH-000062	ACH-000001	0.928571429
ACH-000062	ACH-000007	1
ACH-000062	ACH-000008	1
ACH-000062	ACH-000009	0.928571429
ACH-000062	ACH-000012	0.875
ACH-000062	ACH-000015	0.923076923
ACH-000062	ACH-000023	0.666666667
ACH-000062	ACH-000030	0.857142857
ACH-000062	ACH-000035	0.928571429
ACH-000062	ACH-000040	0.857142857
ACH-000062	ACH-000042	0.9375
ACH-000062	ACH-000047	0.666666667
ACH-000062	ACH-000052	0.9
ACH-000062	ACH-000055	0.888888889
ACH-000062	ACH-000062	0
ACH-000062	ACH-000067	0.875
ACH-000062	ACH-000078	1
ACH-000062	ACH-000082	0.928571429
ACH-000062	ACH-000087	0.857142857
ACH-000062	ACH-000092	1
ACH-000062	ACH-000094	0.923076923
ACH-000062	ACH-000098	0.888888889
ACH-000062	ACH-000099	1
ACH-000062	ACH-000100	0.833333333
ACH-000062	ACH-000102	0.8
ACH-000062	ACH-000103	0.8
ACH-000062	ACH-000107	1
ACH-000062	ACH-000109	0.916666667
ACH-000062	ACH-000111	0.75
ACH-000062	ACH-000114	0.833333333
ACH-000062	ACH-000115	0.9
ACH-000062	ACH-000117	0.916666667
ACH-000062	ACH-000121	0.909090909
ACH-000062	ACH-000129	1
ACH-000062	ACH-000132	0.923076923
ACH-000062	ACH-000138	0.923076923
ACH-000062	ACH-000139	1
ACH-000062	ACH-000142	0.875
ACH-000062	ACH-000144	0.9
ACH-000062	ACH-000145	0.8
ACH-000062	ACH-000147	0.8
ACH-000062	ACH-000148	0.8
ACH-000062	ACH-000149	1
ACH-000062	ACH-000159	1
ACH-000062	ACH-000161	0.928571429
ACH-000062	ACH-000171	0.941176471
ACH-000062	ACH-000174	0.857142857
ACH-000062	ACH-000176	0.909090909
ACH-000062	ACH-000181	1
ACH-000067	ACH-000001	0.941176471
